name,version,filename,python_version
psycopg-binary,3.0.6,psycopg_binary-3.0.6-cp37-cp37m-musllinux_1_1_aarch64.whl,cp37
psycopg-binary,3.0.6,psycopg_binary-3.0.6-cp37-cp37m-musllinux_1_1_i686.whl,cp37
psycopg-binary,3.0.6,psycopg_binary-3.0.6-cp37-cp37m-musllinux_1_1_ppc64le.whl,cp37
psycopg-binary,3.0.6,psycopg_binary-3.0.6-cp37-cp37m-musllinux_1_1_x86_64.whl,cp37
psycopg-binary,3.0.6,psycopg_binary-3.0.6-cp37-cp37m-win_amd64.whl,cp37
psycopg-binary,3.0.7,psycopg_binary-3.0.7-cp37-cp37m-macosx_10_9_x86_64.whl,cp37
psycopg-binary,3.0.7,psycopg_binary-3.0.7-cp37-cp37m-manylinux_2_24_aarch64.whl,cp37
psycopg-binary,3.0.7,psycopg_binary-3.0.7-cp37-cp37m-manylinux_2_24_i686.whl,cp37
psycopg-binary,3.0.7,psycopg_binary-3.0.7-cp37-cp37m-manylinux_2_24_ppc64le.whl,cp37
psycopg-binary,3.0.7,psycopg_binary-3.0.7-cp37-cp37m-manylinux_2_24_x86_64.whl,cp37
psycopg-binary,3.0.7,psycopg_binary-3.0.7-cp37-cp37m-musllinux_1_1_aarch64.whl,cp37
psycopg-binary,3.0.7,psycopg_binary-3.0.7-cp37-cp37m-musllinux_1_1_i686.whl,cp37
psycopg-binary,3.0.7,psycopg_binary-3.0.7-cp37-cp37m-musllinux_1_1_ppc64le.whl,cp37
psycopg-binary,3.0.7,psycopg_binary-3.0.7-cp37-cp37m-musllinux_1_1_x86_64.whl,cp37
psycopg-binary,3.0.7,psycopg_binary-3.0.7-cp37-cp37m-win_amd64.whl,cp37
apache-flink,1.11.5,apache_flink-1.11.5-cp37-cp37m-manylinux1_x86_64.whl,cp37
apache-flink,1.14.2,apache_flink-1.14.2-cp37-cp37m-macosx_10_9_x86_64.whl,cp37
apache-flink,1.14.2,apache_flink-1.14.2-cp37-cp37m-manylinux1_x86_64.whl,cp37
apache-flink,1.13.5,apache_flink-1.13.5-cp37-cp37m-macosx_10_9_x86_64.whl,cp37
apache-flink,1.13.5,apache_flink-1.13.5-cp37-cp37m-manylinux1_x86_64.whl,cp37
picard,2.7,picard-2.7-cp37-cp37m-macosx_10_14_x86_64.whl,cp37
picard,2.7,picard-2.7-cp37-cp37m-win_amd64.whl,cp37
pantsbuild.pants,2.15.0.dev4,pantsbuild.pants-2.15.0.dev4-cp37-cp37m-manylinux2014_x86_64.whl,cp37
pantsbuild.pants,2.15.0.dev4,pantsbuild.pants-2.15.0.dev4-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
pantsbuild.pants,2.15.0.dev4,pantsbuild.pants-2.15.0.dev4-cp37-cp37m-macosx_10_16_x86_64.whl,cp37
pantsbuild.pants,2.13.1rc1,pantsbuild.pants-2.13.1rc1-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
pantsbuild.pants,2.13.1rc1,pantsbuild.pants-2.13.1rc1-cp37-cp37m-macosx_10_16_x86_64.whl,cp37
pantsbuild.pants,2.13.1rc1,pantsbuild.pants-2.13.1rc1-cp37-cp37m-manylinux2014_x86_64.whl,cp37
pantsbuild.pants,2.14.0rc3,pantsbuild.pants-2.14.0rc3-cp37-cp37m-macosx_10_16_x86_64.whl,cp37
pantsbuild.pants,2.14.0rc3,pantsbuild.pants-2.14.0rc3-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
pantsbuild.pants,2.14.0rc3,pantsbuild.pants-2.14.0rc3-cp37-cp37m-manylinux2014_x86_64.whl,cp37
psycopg2,2.9.4,psycopg2-2.9.4-cp37-cp37m-win32.whl,cp37
psycopg2,2.9.4,psycopg2-2.9.4-cp37-cp37m-win_amd64.whl,cp37
psycopg2-binary,2.9.4,psycopg2_binary-2.9.4-cp37-cp37m-macosx_10_15_x86_64.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl,cp37
psycopg2-binary,2.9.4,psycopg2_binary-2.9.4-cp37-cp37m-manylinux_2_17_i686.manylinux2014_i686.whl,cp37
psycopg2-binary,2.9.4,psycopg2_binary-2.9.4-cp37-cp37m-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,cp37
psycopg2-binary,2.9.4,psycopg2_binary-2.9.4-cp37-cp37m-manylinux_2_24_aarch64.whl,cp37
psycopg2-binary,2.9.4,psycopg2_binary-2.9.4-cp37-cp37m-manylinux_2_24_ppc64le.whl,cp37
psycopg2-binary,2.9.4,psycopg2_binary-2.9.4-cp37-cp37m-musllinux_1_1_aarch64.whl,cp37
psycopg2-binary,2.9.4,psycopg2_binary-2.9.4-cp37-cp37m-musllinux_1_1_i686.whl,cp37
psycopg2-binary,2.9.4,psycopg2_binary-2.9.4-cp37-cp37m-musllinux_1_1_ppc64le.whl,cp37
psycopg2-binary,2.9.4,psycopg2_binary-2.9.4-cp37-cp37m-musllinux_1_1_x86_64.whl,cp37
psycopg2-binary,2.9.4,psycopg2_binary-2.9.4-cp37-cp37m-win32.whl,cp37
psycopg2-binary,2.9.4,psycopg2_binary-2.9.4-cp37-cp37m-win_amd64.whl,cp37
sdbus,0.10.1,sdbus-0.10.1-cp37-abi3-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,cp37
sdbus,0.10.1,sdbus-0.10.1-cp37-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,cp37
psycopg-binary,3.0.16,psycopg_binary-3.0.16-cp37-cp37m-macosx_10_9_x86_64.whl,cp37
psycopg-binary,3.0.16,psycopg_binary-3.0.16-cp37-cp37m-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,cp37
psycopg-binary,3.0.16,psycopg_binary-3.0.16-cp37-cp37m-manylinux_2_17_i686.manylinux2014_i686.whl,cp37
psycopg-binary,3.0.16,psycopg_binary-3.0.16-cp37-cp37m-manylinux_2_17_ppc64le.manylinux2014_ppc64le.whl,cp37
psycopg-binary,3.0.16,psycopg_binary-3.0.16-cp37-cp37m-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,cp37
